ID,Season,Location,Fjord,Treatment,Sex,Maturity,Age,Fulton,w3,w6,SFA,MFA,PUFA,Oleic,Linoleic,Linolenic,Docosahexaenoic,Eicosapentaenoic,Arachidonic
F_106,Q419,Frakkfjord,Frakkfjord,Control,male,mature,4,0.7652280379553107,29.5310853711,4.1859458321,26.877270775600003,40.57388333869999,32.548845886,10.4565440611,1.9777908564,0.8096055392,18.7104343877,8.634369666,0.5464203452
F_110,Q419,Olderfjord,Olderfjord,Control,male,immature,3,0.8875076312650381,24.8010364763,3.9533439321,25.6879203176,46.376202246800005,27.9358774358,18.4983441991,1.6332525704,0.8147495978,14.4366508017,8.3769462063,0.9359319879
F_114,Q419,Olderfjord,Olderfjord,Control,female,mature,5,0.8702070272634495,24.2976966997,13.506623128599998,17.8606315674,51.89319595090001,30.246172481700004,36.119057334,12.1140017628,4.5558544162,6.6412700648,5.3276343825,0.2832544738
F_117,Q419,Olderfjord,Olderfjord,Control,male,immature,3,0.766670459717797,14.5050827302,2.7581443242999995,36.3943555672,47.29902761020001,16.3066168224,14.8446720847,1.4852806913,0.5286704592,7.2873977195,5.4207880407,0.6403675149
F_120,Q419,Olderfjord,Olderfjord,Control,female,mature,4,0.7610141579073937,17.2041109755,3.5772575048,30.484606456899996,49.5949150609,19.920478482,14.0749715794,2.0927525719,1.2318625736,9.0159605159,5.9394921364,0.2349950102
F_127,Q419,Olderfjord,Olderfjord,Control,female,immature,4,0.7289692374981775,25.7965866997,4.5573953561,29.2546065288,41.7800719416,28.9653215299,14.1071671751,2.1098324104,0.7211718845,13.0267525978,10.3642807317,1.0880494069
F_132,Q419,Olderfjord,Olderfjord,Control,female,mature,6,0.7763675630756711,21.0554458934,3.7169982529,30.9201653037,45.477500906,23.6023337904,13.9642294958,2.0514506272,0.8813402713,13.1798823858,5.6583857663,0.3273925648
F_134,Q419,Olderfjord,Olderfjord,Control,female,mature,5,1.11620005013325,18.7012544866,3.4787576460000005,31.824748162099997,47.0496122859,21.1256395519,18.328786152,2.0056431305,0.9512705498,10.6412058981,5.9234886501,0.3067222512
F_136,Q419,Olderfjord,Olderfjord,Control,female,mature,5,0.9513370326181604,27.8271368452,4.8056882402,25.303686432800003,43.1969016554,31.499411911800003,16.1520692108,1.9520464773,0.8186333037,14.8529255097,10.7308779143,0.9297211985
F_140,Q419,Olderfjord,Olderfjord,Control,male,immature,6,0.892497384519799,24.8650862948,4.505609997500001,26.950979238699997,44.86710679709999,28.1819139644,14.6992784924,2.0047813547,0.8159990268,10.5590296435,11.9394151757,0.820645075
F_147,Q220,Frakkfjord,Frakkfjord,Control,female,mature,10,1.111878862061477,2.6334298446,2.1241946768999997,39.624823274799994,56.4734058821,3.9017708431,26.0501535788,1.0747524605,0.2188987821,0.8695752441,0.6026669415,0.1757945108
F_187,Q220,Frakkfjord,Frakkfjord,Control,female,mature,7,0.8296296296296296,24.125499505,4.1642489929,29.80975275,42.959011324600006,27.2312359253,18.3764931605,2.3995768642,1.3410642916,13.4175380436,8.1929941461,0.4628017898
F_19,Q419,Bergsfjord,Bergsfjord,Impact,female,mature,10,0.829284094590217,33.562224613699996,6.2637272371,29.3186330595,32.9341945031,37.7471724373,22.3570874774,2.3859128721,0.3071334586,21.1506472879,9.8516538517,0.5364660035
F_195,Q220,Bergsfjord,Bergsfjord,Impact,female,mature,4,0.7307927762473218,22.7028954629,4.4549748403,24.6902764598,49.87421207679999,25.4355114634,16.720707032300002,2.4246237206,0.7022648808,12.5420272862,7.509535624,0.8063669607
F_198,Q220,Frakkfjord,Frakkfjord,Control,male,mature,7,0.9244444444444444,21.7703635961,3.8974622211,29.6557081742,45.3966045659,24.9476872598,20.0717226534,1.4949388173,0.7748002599,13.6599903396,6.1718561825,1.0942913412
F_201,Q220,Bergsfjord,Bergsfjord,Impact,female,mature,8,0.7696686841717635,25.1449398215,16.014224894899996,15.774921127599995,50.8588746315,33.366204240799995,42.8038785037,14.7603114298,6.9673509542,5.2966167375,4.9318100264,0.3317789569
F_202,Q220,Bergsfjord,Bergsfjord,Impact,male,immature,3,1.0395328477080128,47.75859941939999,31.2232185068,24.9037847159,13.8122484198,61.28396686439999,0.8914238741,28.6367171667,10.9388661049,9.3508741565,9.448312774,0.699823095
F_204,Q220,Bergsfjord,Bergsfjord,Impact,male,immature,6,0.8597408315773171,22.2079989827,8.792441691899999,22.2849819279,51.1182650123,26.5967530594,22.3709060423,7.0317859175,2.6280983023,8.6808049966,6.4059163782,0.3548432344
F_206,Q220,Bergsfjord,Bergsfjord,Impact,female,mature,5,0.8218589457402558,14.5733914827,6.6950013182,34.49092452399999,47.2072390718,18.3018364041,21.5510748643,4.7134553529,1.7468989561,6.8658174556,2.6045424191,0.3034221712
F_207,Q220,Bergsfjord,Bergsfjord,Impact,female,mature,4,1.027342552697875,28.649952328100003,18.775449772200002,16.961611532,46.1849681823,36.853420286,38.2574485123,17.2283882452,6.6564064309,5.9799779405,5.2703045002,0.3673141968
F_212,Q220,Bergsfjord,Bergsfjord,Impact,female,immature,5,1.055803845996146,13.7169726713,0.8049767873000001,18.0143261103,58.9916648921,22.994008997699996,49.5565622782,0.0329984747,8.5050580138,7.1148492673,6.3185438663,0.5011280607
F_213,Q220,Bergsfjord,Bergsfjord,Impact,female,immature,4,0.9093232661199092,27.694998579599996,17.781325318799997,16.218349007999997,48.33985780969999,35.441793182199994,39.9657748849,16.4625407249,6.4280100087,6.3273258103,4.7571551329,0.3362322306
F_214,Q220,Bergsfjord,Bergsfjord,Impact,female,immature,3,0.9349087191951878,29.545139882699996,19.3989837157,17.624188335799996,43.700051191300005,38.675760472899995,36.4810988468,17.8963981046,7.6280349791,6.4542843007,5.0099846603,0.4202590735
F_217,Q220,Bergsfjord,Bergsfjord,Impact,female,immature,3,1.0303999182942796,31.752627937300005,17.504222956800003,18.1071968387,42.2655311991,39.6272719625,33.6590927654,15.8814203933,6.2518414617,9.1066648257,6.5952678055,0.4824704518
F_218,Q220,Bergsfjord,Bergsfjord,Impact,male,immature,4,0.9546434674265208,28.3438973191,17.68254191,18.468333951899996,44.8150630169,36.716603031400005,33.5788544135,16.117122918,6.8072867203,6.5785494925,5.4790350586,0.4769516611
F_220,Q220,Bergsfjord,Bergsfjord,Impact,female,mature,7,0.8157566659881946,16.602694622599998,3.667018218900001,27.137809422100005,53.86183221789999,19.00035836,22.5968157929,1.9530010637,0.6836465822,9.0112000944,5.4052333819,0.6275940412
F_225,Q320,Bergsfjord,Bergsfjord,Impact,male,immature,5,0.7630284256559767,11.5271884555,3.5061060242000006,39.712698733500005,46.6362241254,13.6510771411,15.9557631743,1.9143968517,0.5321795131,5.8686148647,3.4958649249,0.7699410959
F_226,Q320,Bergsfjord,Bergsfjord,Impact,male,immature,3,0.9793856803320118,5.5392850845999995,2.7764258154,38.5805249859,54.5153592442,6.904115769900001,16.497610804,1.8420852172,0.4304900871,1.9392244203,1.55158433,0.2782010331
F_238,Q320,Bergsfjord,Bergsfjord,Impact,male,immature,4,0.8660567658935933,14.1723240821,5.2404998816,43.0066573877,39.1427691147,17.8505734976,14.0780005827,2.038773552,0.4765230859,5.3716425511,6.3985182918,1.855248592
F_239,Q320,Bergsfjord,Bergsfjord,Impact,male,immature,5,0.8757201646090536,12.572896838499998,4.5267698336999995,35.2519709567,49.09011513589999,15.6579139075,21.5013098445,2.1118888068,0.6701360421,2.0797590032,8.0864855997,0.9534258726
