ID,Season,Location,Fjord,Treatment,Sex,Maturity,Age,Fulton,name,value,Type
F_106,Q419,Frakkfjord,Frakkfjord,Control,male,mature,4,0.7652280379553107,w3,29.5310853711,FA index
F_106,Q419,Frakkfjord,Frakkfjord,Control,male,mature,4,0.7652280379553107,w6,4.1859458321,FA index
F_106,Q419,Frakkfjord,Frakkfjord,Control,male,mature,4,0.7652280379553107,SFA,26.877270775600003,FA index
F_106,Q419,Frakkfjord,Frakkfjord,Control,male,mature,4,0.7652280379553107,MFA,40.57388333869999,FA index
F_106,Q419,Frakkfjord,Frakkfjord,Control,male,mature,4,0.7652280379553107,PUFA,32.548845886,FA index
F_106,Q419,Frakkfjord,Frakkfjord,Control,male,mature,4,0.7652280379553107,Oleic,10.4565440611,FA
F_106,Q419,Frakkfjord,Frakkfjord,Control,male,mature,4,0.7652280379553107,Linoleic,1.9777908564,FA
F_106,Q419,Frakkfjord,Frakkfjord,Control,male,mature,4,0.7652280379553107,Linolenic,0.8096055392,FA
F_106,Q419,Frakkfjord,Frakkfjord,Control,male,mature,4,0.7652280379553107,Docosahexaenoic,18.7104343877,FA
F_106,Q419,Frakkfjord,Frakkfjord,Control,male,mature,4,0.7652280379553107,Eicosapentaenoic,8.634369666,FA
F_106,Q419,Frakkfjord,Frakkfjord,Control,male,mature,4,0.7652280379553107,Arachidonic,0.5464203452,FA
F_110,Q419,Olderfjord,Olderfjord,Control,male,immature,3,0.8875076312650381,w3,24.8010364763,FA index
F_110,Q419,Olderfjord,Olderfjord,Control,male,immature,3,0.8875076312650381,w6,3.9533439321,FA index
F_110,Q419,Olderfjord,Olderfjord,Control,male,immature,3,0.8875076312650381,SFA,25.6879203176,FA index
F_110,Q419,Olderfjord,Olderfjord,Control,male,immature,3,0.8875076312650381,MFA,46.376202246800005,FA index
F_110,Q419,Olderfjord,Olderfjord,Control,male,immature,3,0.8875076312650381,PUFA,27.9358774358,FA index
F_110,Q419,Olderfjord,Olderfjord,Control,male,immature,3,0.8875076312650381,Oleic,18.4983441991,FA
F_110,Q419,Olderfjord,Olderfjord,Control,male,immature,3,0.8875076312650381,Linoleic,1.6332525704,FA
F_110,Q419,Olderfjord,Olderfjord,Control,male,immature,3,0.8875076312650381,Linolenic,0.8147495978,FA
F_110,Q419,Olderfjord,Olderfjord,Control,male,immature,3,0.8875076312650381,Docosahexaenoic,14.4366508017,FA
F_110,Q419,Olderfjord,Olderfjord,Control,male,immature,3,0.8875076312650381,Eicosapentaenoic,8.3769462063,FA
F_110,Q419,Olderfjord,Olderfjord,Control,male,immature,3,0.8875076312650381,Arachidonic,0.9359319879,FA
F_114,Q419,Olderfjord,Olderfjord,Control,female,mature,5,0.8702070272634495,w3,24.2976966997,FA index
F_114,Q419,Olderfjord,Olderfjord,Control,female,mature,5,0.8702070272634495,w6,13.506623128599998,FA index
F_114,Q419,Olderfjord,Olderfjord,Control,female,mature,5,0.8702070272634495,SFA,17.8606315674,FA index
F_114,Q419,Olderfjord,Olderfjord,Control,female,mature,5,0.8702070272634495,MFA,51.89319595090001,FA index
F_114,Q419,Olderfjord,Olderfjord,Control,female,mature,5,0.8702070272634495,PUFA,30.246172481700004,FA index
F_114,Q419,Olderfjord,Olderfjord,Control,female,mature,5,0.8702070272634495,Oleic,36.119057334,FA
F_114,Q419,Olderfjord,Olderfjord,Control,female,mature,5,0.8702070272634495,Linoleic,12.1140017628,FA
