ID,fisk_id1,fisk_id2,Longitude,Latitude,Season,Date,Fjord,Distance_farm,Treatment,Treatment_2,Farm,Length_cm,Weight_g,Gonade_g,Length,Weight,Liver,Gonad,Stomach,Ovarie,Code_sex_maturity,Maturity,Sex,nitrogen,dorsal fin,otolitt,redskap_Norw,Sampling_gear,Age,Age_first_spawn,Spawning_zones,pan1,pan2,NEAC,CC,Genotype,FA_G,FA_M,FA_L,Lauric,Tridecanoic,Myristic,Myristoleic,Pentadecanoic,Palmitic,Palmitoleic,Heptadecanoic,cis_10_Heptadecenoic,Stearic,Elaidic,Oleic,Vaccenic,Linoleic,Arachidic,g_Linolenic_Acid,cis_11_Eicosenoic,Linolenic,Eicosadienoic,Behenic,Eicosatrienoic_3n6,Erucic,Eicosatrienoic_3n3,Arachidonic,Docosadienoic,Lignoceric,Eicosapentaenoic,Nervonic,Docosatetraenoic,Docosapentaenoic,Docosahexaenoic
F_106,WP3-106,FO-32,21.47586,70.26548,Q419,17/10/2019,Frakkfjord,15326.6942523406,Control,Control,0,66,2200,,66,2200,46,NA,41,NA,mature_male_frakk,mature,male,1,1,1,Garn,gillnet,4,NA,NA,A,A,0.00,1.00,CC,0,1,1,0,4.7420101738,6.1519124823,0.0729304407,0.5089407887,12.1256806728,7.6087430507,0.1690297403,0.2462757666,2.592073217,0.2085452499,10.4565440611,3.7110854372,1.9777908564,0.1129527115,0.1163850966,16.0806204644,0.8096055392,0.374967381,0.260513928,0.0753130825,1.1655792335,0.1400960457,0.5464203452,1.0705099456,0.2141570612,8.634369666,1.0235596346,0.0245591248,0.0683944153,18.7104343877
F_110,WP3-110,OO-02,21.40759,70.15301,Q419,14/10/2019,Olderfjord,16153.4178882379,Control,Control,0,50.5,1143,,50.5,1143,29,NA,67,NA,immature_male_older,immature,male,1,1,1,Jukse,hooks,3,NA,NA,B,B,0.05,0.95,CC,0,1,1,0,4.2937150429,3.0831391168,0.0528162253,0.4048391288,13.4085950062,5.6140117565,0.3223232921,0.4251862778,3.8568712122,0.1744066031,18.4983441991,6.7693923378,1.6332525704,0.1345795057,0.0365779581,13.3550591028,0.8147495978,0.6047748616,0.1155677738,0.0658381664,0.7977042962,0.2843633049,0.9359319879,0.6498365184,0.0682902391,8.3769462063,0.6892814482,0.0271318693,0.069823593,14.4366508017
F_114,WP3-114,OO-06,21.40759,70.15301,Q419,15/10/2019,Olderfjord,16153.4178882379,Control,Control,0,76,3820,59,76,3820,412,59,55,1,mature_female_older,mature,female,1,1,1,Garn,gillnet,5,NA,NA,A,A,0.00,1.00,CC,1,1,1,0,3.5011115975,2.4326738899,0.0344605828,0.2622713965,9.3663564681,3.9386763552,0.1491639689,0.2629081306,2.0207683718,0.0578183653,36.119057334,4.1199424102,12.1140017628,0.0845018293,0.0834301724,6.7291788447,4.5558544162,0.4214289107,0.023628258,0.0471088996,0.4456264538,0.1416004757,0.2832544738,0.5391641976,0.0201557874,5.3276343825,0.1855274743,0.0182347117,0.0731900139,6.6412700648
F_117,WP3-117,OO-09,21.40759,70.15199,Q419,15/10/2019,Olderfjord,16184.5486694326,Control,Control,0,52,1078,,52,1078,22,NA,25,NA,immature_male_older,immature,male,1,1,1,Jukse,hooks,3,NA,NA,A,A,0.01,0.99,CC,0,1,1,0.0646906788,5.8316428986,6.6906053004,0.0869579717,0.7811118222,18.5206468013,8.7706566156,0.4327818058,0.4576083044,3.8348155926,0.2807584257,14.8446720847,7.114657725,1.4852806913,0.138430098,0.0593259576,14.0357185327,0.5286704592,0.3706833009,0.0648738998,0.060833727,0.7235054987,0.141589753,0.6403675149,0.1107779946,0.0347566697,5.4207880407,0.9844924517,0.030875138,0.1700265257,7.2873977195
F_120,WP3-120,OO-12,21.40759,70.15199,Q419,15/10/2019,Olderfjord,16184.5486694326,Control,Control,0,69,2500,29,69,2500,110,29,45,1,mature_female_older,mature,female,1,1,1,Jukse,hooks,4,NA,NA,A,B,0.00,1.00,CC,1,1,1,0.0301708622,3.9960756076,8.5143215838,0.083729852,0.606288921,14.5156896009,7.5491152598,0.1784217749,0.3719967986,2.4865375911,0.0269329807,14.0749715794,3.349354028,2.0927525719,0.0972993851,0.0956181501,21.8589144622,1.2318625736,0.2747260965,0.0536676865,0.0162638794,1.3092420657,0.1362719257,0.2349950102,0.8462951754,0.0061334438,5.9394921364,0.9706580345,0.0166066213,0.0196338256,9.0159605159
F_127,WP3-127,OO-19,21.40759,70.15199,Q419,15/10/2019,Olderfjord,16184.5486694326,Control,Control,0,57,1350,3,57,1350,15,3,58,1,immature_female_older,immature,female,1,1,1,Jukse,hooks,4,NA,NA,A,A,0.00,1.00,CC,1,1,1,0,5.7913671806,4.4843537038,0.076614626,0.5146302549,13.8467122205,8.9422231176,0.3644926561,0.2763504176,3.9024011687,0.2250484856,14.1071671751,5.9197299045,2.1098324104,0.1095478847,0.1281750637,11.0857686245,0.7211718845,0.4670451317,0.0882784869,0.0789453513,0.6854540446,0.153754657,1.0880494069,0.6600633702,0.1528229726,10.3642807317,0.4617155461,0.0252846219,0.1419663028,13.0267525978
F_132,WP3-132,OO-24,21.40759,70.15301,Q419,16/10/2019,Olderfjord,16153.4178882379,Control,Control,0,80.5,4050,24,80.5,4050,112,24,118,1,mature_female_older,mature,female,1,1,1,Garn,gillnet,6,NA,NA,A,B,0.00,1.00,CC,1,1,1,0,4.6617494979,8.9602127377,0.0919534177,0.3583293757,14.4635530343,6.7812107604,0.1599120474,0.4349331563,2.0808604025,0.0656002872,13.9642294958,3.208646672,2.0514506272,0.1036535157,0.0879330457,18.8100119737,0.8813402713,0.3090985349,0.121402911,0.0923459153,1.2991251458,0.1186120435,0.3273925648,0.8371602304,0.0104917815,5.6583857663,0.8217899971,0.0116173346,0.0471150706,13.1798823858
F_134,WP3-134,OO-26,21.40759,70.15301,Q419,16/10/2019,Olderfjord,16153.4178882379,Control,Control,0,71.5,4080,23,71.5,4080,186,23,625,1,mature_female_older,mature,female,1,1,1,Garn,gillnet,5,NA,NA,B,B,0.00,1.00,CC,1,1,1,0,4.6492794252,6.8583503561,0.0790798946,0.3161080568,16.5747907014,6.9102859558,0.1890776655,0.4022226614,3.0713000164,0.067665789,18.328786152,3.669361103,2.0056431305,0.1109920083,0.0834980497,15.8957237288,0.9512705498,0.3448275002,0.035989862,0.0628189962,1.0107506195,0.1137804718,0.3067222512,0.6752477182,0.0188600704,5.9234886501,0.6857363818,0,0.0171363361,10.6412058981
F_135,WP3-135,OO-27,21.40759,70.15301,Q419,16/10/2019,Olderfjord,16153.4178882379,Control,Control,0,81,4680,47,81,4680,349,47,181,1,mature_female_older,mature,female,1,1,1,Garn,gillnet,5,NA,NA,B,B,1.00,0.00,NEAC,1,1,1,0.0303137286,4.7174533321,6.8583931415,0.0803415954,0.5633630827,14.0868655412,6.7424995014,0.1699512744,0.4089540804,2.5573986481,0.0336504854,16.1353738228,3.1350748596,2.2105993274,0.1139089224,0.1087580437,16.811058876,1.5776206442,0.376155912,0.0574678902,0.0195792978,0.6638121699,0.1532538514,0.3266341751,0.944246241,0.006395283,8.1324291649,0.5581710995,0.0145848536,0.0223792785,12.3833118758
F_136,WP3-136,OO-28,21.40759,70.15301,Q419,16/10/2019,Olderfjord,16153.4178882379,Control,Control,0,81.5,5150,36,81.5,5150,440,36,94,1,mature_female_older,mature,female,1,1,1,Garn,gillnet,5,NA,NA,A,A,0.00,1.00,CC,1,1,1,0,2.8120784706,4.9411007649,0.0657249827,0.3972905051,12.6904981479,6.4039413198,0.2271383564,0.3352207218,3.982103955,0.2572613861,16.1520692108,4.6744520621,1.9520464773,0.1572736504,0.1320182677,14.0580382711,0.8186333037,0.3781693653,0.082846738,0.105378762,0.8035417627,0.1563027438,0.9297211985,0.8777432499,0.0133558445,10.7308779143,0.4466519383,0.4306109195,0.1349842001,14.8529255097
