Variable,Predictor,estimate,std.error,p
w3,(Intercept),-1.28,0.59,0.03
w3,SeasonQ320,-0.88,0.27,0
w3,SeasonQ419,0.18,0.18,0.3
w3,SeasonQ420,-0.95,0.26,0
w3,TreatmentImpact,0.21,0.16,0.18
w3,Sexmale,0.06,0.13,0.64
w3,Maturitymature,0.16,0.17,0.32
w3,Age,-0.05,0.03,0.15
w3,Fulton,0.07,0.56,0.89
w6,(Intercept),-2.66,0.51,0
w6,SeasonQ320,-0.92,0.29,0
w6,SeasonQ419,-0.12,0.17,0.5
w6,SeasonQ420,-0.84,0.26,0
w6,TreatmentImpact,0.54,0.16,0
w6,Sexmale,0.03,0.11,0.82
w6,Maturitymature,0.05,0.13,0.69
w6,Age,-0.04,0.03,0.2
w6,Fulton,0.08,0.48,0.87
SFA,(Intercept),-0.53,0.42,0.21
SFA,SeasonQ320,0.83,0.15,0
SFA,SeasonQ419,0.35,0.12,0
SFA,SeasonQ420,1.03,0.14,0
SFA,TreatmentImpact,-0.19,0.17,0.26
SFA,Sexmale,-0,0.1,0.99
SFA,Maturitymature,-0.13,0.12,0.27
SFA,Age,-0,0.02,0.85
SFA,Fulton,-0.44,0.39,0.26
MFA,(Intercept),-0.43,0.39,0.26
MFA,SeasonQ320,-0.03,0.18,0.86
MFA,SeasonQ419,-0.36,0.12,0
MFA,SeasonQ420,-0.27,0.15,0.08
MFA,TreatmentImpact,-0.05,0.26,0.84
MFA,Sexmale,0.02,0.08,0.82
MFA,Maturitymature,0.09,0.09,0.35
MFA,Age,0.02,0.02,0.25
MFA,Fulton,0.18,0.35,0.61
PUFA,(Intercept),-1.11,0.6,0.06
PUFA,SeasonQ320,-1.01,0.27,0
PUFA,SeasonQ419,0.11,0.18,0.55
PUFA,SeasonQ420,-0.99,0.25,0
PUFA,TreatmentImpact,0.27,0.16,0.09
PUFA,Sexmale,0.08,0.13,0.54
PUFA,Maturitymature,0.16,0.16,0.33
PUFA,Age,-0.05,0.03,0.11
PUFA,Fulton,0.2,0.57,0.73
Oleic,(Intercept),-2.33,NA,NA
Oleic,SeasonQ320,-0.57,NA,NA
Oleic,SeasonQ419,-0.3,NA,NA
Oleic,SeasonQ420,-0.63,NA,NA
Oleic,TreatmentImpact,0.3,NA,NA
Oleic,Sexmale,-0.06,NA,NA
Oleic,Maturitymature,0.04,NA,NA
Oleic,Age,0.04,NA,NA
Oleic,Fulton,0.9,NA,NA
Linoleic,(Intercept),-2.99,0.63,0
Linoleic,SeasonQ320,-1.19,0.35,0
Linoleic,SeasonQ419,-0.34,0.2,0.09
Linoleic,SeasonQ420,-1.27,0.34,0
Linoleic,TreatmentImpact,0.67,0.19,0
Linoleic,Sexmale,-0.13,0.14,0.36
Linoleic,Maturitymature,-0.06,0.15,0.69
Linoleic,Age,-0.05,0.04,0.22
Linoleic,Fulton,0.14,0.59,0.82
Linolenic,(Intercept),-3.37,0.55,0
Linolenic,SeasonQ320,-1.35,0.28,0
Linolenic,SeasonQ419,-0.6,0.17,0
Linolenic,SeasonQ420,-1.21,0.26,0
Linolenic,TreatmentImpact,0.42,0.16,0.01
Linolenic,Sexmale,-0.09,0.12,0.46
Linolenic,Maturitymature,-0.02,0.14,0.86
Linolenic,Age,-0.08,0.03,0.01
Linolenic,Fulton,0.25,0.54,0.64
Docosahexaenoic,(Intercept),-2.05,0.6,0
Docosahexaenoic,SeasonQ320,-0.42,0.28,0.14
Docosahexaenoic,SeasonQ419,0.41,0.18,0.02
Docosahexaenoic,SeasonQ420,-0.5,0.26,0.05
Docosahexaenoic,TreatmentImpact,0.03,0.16,0.87
Docosahexaenoic,Sexmale,0.08,0.14,0.57
Docosahexaenoic,Maturitymature,0.38,0.16,0.02
Docosahexaenoic,Age,-0.03,0.03,0.32
Docosahexaenoic,Fulton,-0.36,0.56,0.52
Eicosapentaenoic,(Intercept),-2.76,0.53,0
Eicosapentaenoic,SeasonQ320,-0.38,0.23,0.09
Eicosapentaenoic,SeasonQ419,0.34,0.15,0.03
Eicosapentaenoic,SeasonQ420,-0.51,0.21,0.02
Eicosapentaenoic,TreatmentImpact,-0.03,0.13,0.82
Eicosapentaenoic,Sexmale,0.04,0.12,0.73
Eicosapentaenoic,Maturitymature,-0.04,0.14,0.76
Eicosapentaenoic,Age,-0.01,0.03,0.63
Eicosapentaenoic,Fulton,0.2,0.49,0.69
Arachidonic,(Intercept),-4.64,0.43,0
Arachidonic,SeasonQ320,0.19,0.19,0.3
Arachidonic,SeasonQ419,0.2,0.13,0.13
Arachidonic,SeasonQ420,0.19,0.16,0.25
Arachidonic,TreatmentImpact,-0.01,0.12,0.95
Arachidonic,Sexmale,0.13,0.09,0.17
Arachidonic,Maturitymature,-0.05,0.11,0.68
Arachidonic,Age,-0.01,0.02,0.77
Arachidonic,Fulton,0.23,0.41,0.57
